Length Units,meter,,,,,,,
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) 속도 크기 - m/s,
1,-213.84827,-1401.7566,340,-0.01249763,9.9631071,0.026570989,9.96315,
2,-193.60878,-1401.7566,340,-0.014258283,9.999897,0.025189711,9.999939,
3,-173.36929,-1401.7566,340,-0.025774561,9.9967108,0.024393249,9.9967737,
4,-153.12982,-1401.7566,340,-0.030227374,9.995491,0.024158766,9.9955664,
5,-132.89034,-1401.7566,340,-0.027118076,10.006335,0.022999484,10.006398,
6,-112.65086,-1401.7566,340,-0.043613207,10.012687,0.035629049,10.012845,
7,-92.411377,-1401.7566,340,-0.065184094,10.004951,0.04618834,10.005271,
8,-72.17189,-1401.7566,340,-0.073508784,10.002308,0.050523024,10.002706,
9,-51.932404,-1401.7566,340,-0.082346849,10.005262,0.059730571,10.00578,
10,-31.692932,-1401.7566,340,-0.096442893,10.009828,0.074398577,10.010569,
11,-11.453445,-1401.7566,340,-0.10257949,10.017463,0.089184098,10.018385,
12,8.7860413,-1401.7566,340,-0.044568814,10.00482,0.045057237,10.00502,
13,29.025513,-1401.7566,340,-0.042099942,10.004732,0.045040064,10.004922,
14,49.264999,-1401.7566,340,-0.057076465,9.9927807,0.096407659,9.9934092,
15,69.504471,-1401.7566,340,-0.079468004,9.9836245,0.13586667,9.9848652,
16,89.743973,-1401.7566,340,-0.12428249,9.9750595,0.1722648,9.9773216,
17,109.98344,-1401.7566,340,-0.01835626,9.9753923,0.059440278,9.9755859,
18,130.22292,-1401.7566,340,-0.011806989,9.9965553,0.080912665,9.9968901,
19,150.46242,-1401.7566,340,-0.011806989,9.9965553,0.080912665,9.9968901,
20,170.70189,-1401.7566,340,-0.004755302,9.9993992,0.083429404,9.9997482,
21,190.94136,-1401.7566,340,0.013117659,10.00661,0.089808241,10.007022,
22,211.18086,-1401.7566,340,0.020830972,10.006281,0.10780919,10.006884,
23,231.42033,-1401.7566,340,0.030350592,10.005874,0.13001782,10.006764,
24,251.65981,-1401.7566,340,0.030801697,10.006097,0.12925543,10.006979,
25,271.89929,-1401.7566,340,0.041211419,10.016917,0.10302854,10.017531,
26,292.13879,-1401.7566,340,0.034208752,10.037313,0.081027098,10.037699,
27,312.37823,-1401.7566,340,0.049078479,10.023448,0.12168577,10.024307,
28,332.61774,-1401.7566,340,0.0679162,10.005131,0.17334889,10.006863,
29,352.85724,-1401.7566,340,0.065345429,10.004459,0.17146686,10.006143,
30,373.09668,-1401.7566,340,0.047894157,9.9999046,0.158691,10.001279,
31,393.33618,-1401.7566,340,0.044010874,9.9988899,0.15584809,10.000201,
32,413.57568,-1401.7566,340,0.034102626,9.9994068,0.15157083,10.000613,
33,433.81512,-1401.7566,340,0.021929489,10.006393,0.13983817,10.007395,
34,454.05463,-1401.7566,340,0.013936829,10.010826,0.16170019,10.012141,
35,474.29413,-1401.7566,340,0.003746555,10.005906,0.20056786,10.007917,
36,494.53357,-1401.7566,340,0.002617809,10.003319,0.20699659,10.005461,
37,514.77307,-1401.7566,340,0.002886289,10.017213,0.16527167,10.018577,
38,535.01257,-1401.7566,340,0.000720655,10.030384,0.10815431,10.030967,
39,555.25201,-1401.7566,340,-0.034979891,10.028336,0.16607873,10.029772,
40,575.49152,-1401.7566,340,-0.069861047,10.00981,0.25192949,10.013224,
41,595.73102,-1401.7566,340,-0.076447606,10.008631,0.26381066,10.012399,
42,615.97046,-1401.7566,340,-0.051034056,10.008536,0.19637206,10.010592,
43,636.20996,-1401.7566,340,-0.029239368,10.009128,0.14165837,10.010173,
44,656.44946,-1401.7566,340,-0.015679989,10.011714,0.1042931,10.012269,
45,676.6889,-1401.7566,340,-0.01956448,10.016606,0.10655218,10.017192,
46,696.92841,-1401.7566,340,-0.006630774,10.010283,0.12290946,10.01104,
47,717.16791,-1401.7566,340,-0.010051368,10.032594,0.22092381,10.03503,
48,737.40735,-1401.7566,340,0.006705486,10.026443,0.21335495,10.028715,
49,757.64685,-1401.7566,340,0.029080272,10.025448,0.17601064,10.027035,
50,777.88635,-1401.7566,340,0.030539352,10.029689,0.18223155,10.031391,
51,798.12579,-1401.7566,340,0.039060146,10.035127,0.28872922,10.039355,
52,818.36523,-1401.7566,340,0.059254568,10.028271,0.31725237,10.033463,
53,838.60474,-1401.7566,340,0.059041645,10.028342,0.31695163,10.033524,
54,858.84424,-1401.7566,340,0.058451898,10.027618,0.2093783,10.029974,
55,879.08374,-1401.7566,340,0.075578772,10.029664,0.22237098,10.032413,
56,899.32324,-1401.7566,340,0.049122751,10.024669,0.15445611,10.025979,
57,919.56274,-1401.7566,340,0.038274266,10.022794,0.12710115,10.023673,
58,939.80212,-1401.7566,340,0.033094473,10.014272,0.10379033,10.014864,
59,960.04163,-1401.7566,340,0.035779297,10.012573,0.11351606,10.013281,
60,980.28113,-1401.7566,340,0.037291083,10.012127,0.11549433,10.012862,
61,1000.5206,-1401.7566,340,0.037994958,10.018244,0.12206423,10.019059,
62,1020.7601,-1401.7566,340,0.028479951,10.020864,0.1049188,10.021453,
63,1040.9996,-1401.7566,340,0.042232342,10.020028,0.12562308,10.020905,
64,1061.239,-1401.7566,340,0.072358929,10.011819,0.19888797,10.014055,
65,1081.4785,-1401.7566,340,0.050818454,10.017689,0.14650366,10.018888,
66,1101.718,-1401.7566,340,0.020766322,10.016221,0.062549561,10.016438,
67,1121.9575,-1401.7566,340,0.037281461,10.027735,0.091301173,10.02822,
68,1142.197,-1401.7566,340,0.053429529,10.008587,0.12448649,10.009503,
69,1162.4365,-1401.7566,340,0.05685252,10.004528,0.13152096,10.005554,
70,1182.6759,-1401.7566,340,0.05685252,10.004528,0.13152096,10.005554,
71,1202.9154,-1401.7566,340,0.054020554,10.005762,0.1290323,10.00674,
72,1223.1549,-1401.7566,340,0.049555726,10.0091,0.13092142,10.010079,
73,1243.3944,-1401.7566,340,0.049282338,10.013339,0.12280625,10.014214,
74,1263.6339,-1401.7566,340,0.048151396,10.016152,0.10892461,10.01686,
75,1283.8734,-1401.7566,340,0.05107056,10.013861,0.11037225,10.014599,
76,1304.1128,-1401.7566,340,0.041804891,10.009068,0.086600497,10.00953,
77,1324.3523,-1401.7566,340,0.033004574,10.000318,0.067796364,10.000602,
78,1344.5918,-1401.7566,340,0.023455065,10.001332,0.054295465,10.001507,
79,1364.8313,-1401.7566,340,0.008441245,10.002914,0.033016507,10.002973,
80,1385.0708,-1401.7566,340,0.008447091,10.002916,0.033039372,10.002975,
81,1405.3103,-1401.7566,340,0.008565213,9.973279,0.054792747,9.9734335,
82,-213.84827,-1381.7499,340,-0.037580959,9.8890629,0.079900213,9.8894567,
83,-193.60878,-1381.7499,340,-0.042966399,9.9996891,0.075907536,10.00007,
84,-173.36929,-1381.7499,340,-0.06465815,9.9985428,0.073783427,9.9990244,
85,-153.12982,-1381.7499,340,-0.083922498,10.010748,0.07004559,10.011345,
86,-132.89034,-1381.7499,340,-0.076229237,10.037592,0.067189068,10.038106,
87,-112.65086,-1381.7499,340,-0.10192491,10.041127,0.087995529,10.04203,
88,-92.411377,-1381.7499,340,-0.13700412,10.036006,0.10998219,10.037543,
89,-72.17189,-1381.7499,340,-0.18973,10.035987,0.15022799,10.038904,
