Length Units,meter,,,,,,,
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) 속도 크기 - m/s,
1,-213.84827,-1401.7566,260,-0.012974591,9.9553595,0.036406305,9.9554348,
2,-193.60878,-1401.7566,260,-0.018926568,9.9930801,0.022606527,9.993124,
3,-173.36929,-1401.7566,260,-0.01560018,9.9942913,0.021801475,9.9943275,
4,-153.12982,-1401.7566,260,-0.032188725,9.998168,0.024630046,9.99825,
5,-132.89034,-1401.7566,260,-0.032263424,9.9981632,0.024687205,9.9982452,
6,-112.65086,-1401.7566,260,-0.046390034,10.005913,0.029439013,10.006063,
7,-92.411377,-1401.7566,260,-0.054584648,10.010409,0.032195535,10.010611,
8,-72.17189,-1401.7566,260,-0.054626584,10.010418,0.03222027,10.010618,
9,-51.932404,-1401.7566,260,-0.093637422,10.007626,0.059540279,10.008241,
10,-31.692932,-1401.7566,260,-0.097808212,10.007326,0.062461317,10.007998,
11,-11.453445,-1401.7566,260,-0.09824343,10.001819,0.067653626,10.00253,
12,8.7860413,-1401.7566,260,-0.099611647,9.9845047,0.083976872,9.9853544,
13,29.025513,-1401.7566,260,-0.099611647,9.9845047,0.083976872,9.9853544,
14,49.264999,-1401.7566,260,-0.099611647,9.9845047,0.083976872,9.9853544,
15,69.504471,-1401.7566,260,-0.099611647,9.9845047,0.083976872,9.9853544,
16,89.743973,-1401.7566,260,-0.090674937,9.9822302,0.076267749,9.982933,
17,109.98344,-1401.7566,260,-0.018731339,9.9741812,0.058210552,9.974369,
18,130.22292,-1401.7566,260,-0.018731339,9.9741802,0.058210552,9.9743671,
19,150.46242,-1401.7566,260,-0.01917818,9.9751596,0.059744164,9.9753571,
20,170.70189,-1401.7566,260,0.016843291,9.9930229,0.13531455,9.9939528,
21,190.94136,-1401.7566,260,0.016843291,9.993022,0.13531455,9.9939518,
22,211.18086,-1401.7566,260,0.023251226,9.9935474,0.17730083,9.9951468,
23,231.42033,-1401.7566,260,0.037092607,9.9946804,0.26799276,9.9983416,
24,251.65981,-1401.7566,260,0.040236272,9.9980469,0.24355377,10.001094,
25,271.89929,-1401.7566,260,0.047930531,10.006284,0.18373819,10.008085,
26,292.13879,-1401.7566,260,0.047930531,10.006284,0.18373819,10.008085,
27,312.37823,-1401.7566,260,0.039831787,10.002724,0.18955645,10.004599,
28,332.61774,-1401.7566,260,0.038670253,10.005849,0.13506472,10.006835,
29,352.85724,-1401.7566,260,0.038946304,10.00731,0.13088572,10.008242,
30,373.09668,-1401.7566,260,0.036915142,10.007645,0.1496639,10.008832,
31,393.33618,-1401.7566,260,0.035718963,10.007894,0.15045591,10.009089,
32,413.57568,-1401.7566,260,0.014305844,10.010489,0.15497696,10.011698,
33,433.81512,-1401.7566,260,0.009264735,10.00654,0.13229266,10.00742,
34,454.05463,-1401.7566,260,0.009264735,10.006541,0.13229266,10.00742,
35,474.29413,-1401.7566,260,-0.014453864,10.012843,0.27340221,10.016585,
36,494.53357,-1401.7566,260,-0.019428141,10.014166,0.3029958,10.018767,
37,514.77307,-1401.7566,260,-0.019428141,10.014166,0.3029958,10.018767,
38,535.01257,-1401.7566,260,-0.016228596,10.027083,0.1964947,10.029022,
39,555.25201,-1401.7566,260,-0.038799059,10.017681,0.1534107,10.01893,
40,575.49152,-1401.7566,260,-0.045609415,10.017425,0.16244224,10.018846,
41,595.73102,-1401.7566,260,-0.066096507,10.016655,0.18961114,10.018667,
42,615.97046,-1401.7566,260,-0.066096507,10.016655,0.18961114,10.018667,
43,636.20996,-1401.7566,260,-0.1077347,10.022385,0.2385461,10.025802,
44,656.44946,-1401.7566,260,-0.15788305,10.029286,0.29748261,10.034939,
45,676.6889,-1401.7566,260,-0.15139481,10.014866,0.27192056,10.019701,
46,696.92841,-1401.7566,260,-0.1807957,10.001227,0.25904632,10.006215,
47,717.16791,-1401.7566,260,-0.22385553,10.001587,0.28328979,10.008101,
48,737.40735,-1401.7566,260,-0.182914,9.9866343,0.3067615,9.9930182,
49,757.64685,-1401.7566,260,-0.20622382,9.9629259,0.40909198,9.9734535,
50,777.88635,-1401.7566,260,-0.12024391,9.928525,0.49725175,9.9416962,
51,798.12579,-1401.7566,260,-0.003956925,9.8939896,0.55878127,9.9097567,
52,818.36523,-1401.7566,260,0.33356339,9.9233732,0.58087599,9.9459553,
53,838.60474,-1401.7566,260,0.31973383,9.9323444,0.58913177,9.954937,
54,858.84424,-1401.7566,260,0.25629112,10.014998,0.37245062,10.025198,
55,879.08374,-1401.7566,260,0.18681586,10.039929,0.26851344,10.045257,
56,899.32324,-1401.7566,260,0.20426898,10.044497,0.2672978,10.050129,
57,919.56274,-1401.7566,260,0.075739056,10.03471,0.21889144,10.037383,
58,939.80212,-1401.7566,260,0.069810562,10.021298,0.21751735,10.023902,
59,960.04163,-1401.7566,260,0.069810562,10.021298,0.21751735,10.023902,
60,980.28113,-1401.7566,260,0.056041569,10.021731,0.23473161,10.024636,
61,1000.5206,-1401.7566,260,0.054674622,10.018055,0.21919008,10.020602,
62,1020.7601,-1401.7566,260,0.053803537,10.018594,0.21323009,10.021007,
63,1040.9996,-1401.7566,260,0.055560734,10.015848,0.23675978,10.0188,
64,1061.239,-1401.7566,260,0.056261234,10.019095,0.201611,10.021281,
65,1081.4785,-1401.7566,260,0.056267459,10.019172,0.20159842,10.021358,
66,1101.718,-1401.7566,260,0.057333976,10.01529,0.2269794,10.018026,
67,1121.9575,-1401.7566,260,0.043807991,10.008484,0.12191507,10.009322,
68,1142.197,-1401.7566,260,0.065034077,10.006126,0.16707285,10.007732,
69,1162.4365,-1401.7566,260,0.076483734,10.004854,0.1914316,10.006978,
70,1182.6759,-1401.7566,260,0.076483734,10.004854,0.1914316,10.006978,
71,1202.9154,-1401.7566,260,0.07893993,10.003482,0.2064312,10.005923,
72,1223.1549,-1401.7566,260,0.082459651,10.001514,0.22792564,10.004451,
73,1243.3944,-1401.7566,260,0.082109235,10.002048,0.22071791,10.004821,
74,1263.6339,-1401.7566,260,0.081913956,10.010814,0.18641716,10.012884,
75,1283.8734,-1401.7566,260,0.082098454,10.013545,0.18025193,10.015504,
76,1304.1128,-1401.7566,260,0.090209626,10.011152,0.17767963,10.013135,
77,1324.3523,-1401.7566,260,0.090083666,10.007573,0.14069964,10.008967,
78,1344.5918,-1401.7566,260,0.018639717,10.010652,0.04730431,10.01078,
79,1364.8313,-1401.7566,260,0.013625301,10.006415,0.044897318,10.006525,
80,1385.0708,-1401.7566,260,0.013618936,10.006413,0.044876345,10.006522,
81,1405.3103,-1401.7566,260,0.005915923,9.9785671,0.068246245,9.9788017,
82,-213.84827,-1381.7499,260,-0.039527733,9.8690233,0.10634953,9.8696756,
83,-193.60878,-1381.7499,260,-0.051249154,9.9812527,0.066753097,9.9816074,
84,-173.36929,-1381.7499,260,-0.060053058,9.9855595,0.068007208,9.9859715,
85,-153.12982,-1381.7499,260,-0.091373868,9.9922905,0.073405445,9.9929781,
86,-132.89034,-1381.7499,260,-0.11813968,10.006053,0.08134985,10.007081,
87,-112.65086,-1381.7499,260,-0.14576127,10.02125,0.090610251,10.022719,
88,-92.411377,-1381.7499,260,-0.16399081,10.031273,0.096726313,10.033079,
89,-72.17189,-1381.7499,260,-0.16952048,10.030886,0.10059501,10.032823,
90,-51.932404,-1381.7499,260,-0.23233342,10.026385,0.14458638,10.030119,
91,-31.692932,-1381.7499,260,-0.28948635,10.01913,0.17454544,10.02483,
92,-11.453445,-1381.7499,260,-0.29312718,9.9944525,0.20388514,10.000829,
93,8.7860413,-1381.7499,260,-0.29740644,9.9667368,0.23751988,9.9740019,
94,29.025513,-1381.7499,260,-0.29903328,9.9534826,0.25209782,9.9611645,
95,49.264999,-1381.7499,260,-0.29903328,9.9534817,0.25209782,9.9611635,
96,69.504471,-1381.7499,260,-0.27209395,9.946909,0.23007983,9.953289,
97,89.743973,-1381.7499,260,-0.17180042,9.9341068,0.19812565,9.9375677,
98,109.98344,-1381.7499,260,-0.071951739,9.9232645,0.17447098,9.9250593,
99,130.22292,-1381.7499,260,-0.056231312,9.9224911,0.17474756,9.9241886,
100,150.46242,-1381.7499,260,-0.045386605,9.9338684,0.20985006,9.9361887,
101,170.70189,-1381.7499,260,0.005593263,9.9594002,0.31731713,9.9644556,
102,190.94136,-1381.7499,260,0.05056341,9.9790525,0.40621307,9.9874449,
103,211.18086,-1381.7499,260,0.05056341,9.9790525,0.40621307,9.9874449,
104,231.42033,-1381.7499,260,0.071604438,9.9802437,0.57601547,9.9971085,
105,251.65981,-1381.7499,260,0.084858805,9.9892206,0.52428484,10.003329,
106,271.89929,-1381.7499,260,0.099622324,9.9997902,0.48537701,10.012058,
107,292.13879,-1381.7499,260,0.12210961,10.009173,0.53836238,10.024385,
108,312.37823,-1381.7499,260,0.12658957,10.021191,0.4964647,10.034279,
109,332.61774,-1381.7499,260,0.11849965,10.023979,0.42344218,10.033619,
110,352.85724,-1381.7499,260,0.11386792,10.021729,0.425464,10.031403,
111,373.09668,-1381.7499,260,0.11081893,10.02295,0.44928965,10.033628,
112,393.33618,-1381.7499,260,0.090846799,10.027356,0.45483723,10.038078,
113,413.57568,-1381.7499,260,0.057165191,10.028421,0.44808975,10.038589,
114,433.81512,-1381.7499,260,0.028355375,10.023141,0.42899901,10.032358,
115,454.05463,-1381.7499,260,0.008867025,10.026961,0.45877722,10.037456,
116,474.29413,-1381.7499,260,-0.017415464,10.034432,0.60426211,10.052626,
117,494.53357,-1381.7499,260,-0.051415857,10.05517,0.70010865,10.079645,
118,514.77307,-1381.7499,260,-0.048127584,10.083689,0.57021934,10.099914,
119,535.01257,-1381.7499,260,-0.043703981,10.101549,0.42297375,10.110496,
120,555.25201,-1381.7499,260,-0.073483832,10.086193,0.39480495,10.094185,
121,575.49152,-1381.7499,260,-0.11808946,10.053018,0.46267933,10.064352,
122,595.73102,-1381.7499,260,-0.17077446,10.051898,0.53828281,10.067749,
123,615.97046,-1381.7499,260,-0.25776228,10.070732,0.59776777,10.09175,
124,636.20996,-1381.7499,260,-0.34680307,10.105222,0.67643398,10.133773,
125,656.44946,-1381.7499,260,-0.47936043,10.100276,0.75492424,10.139787,
126,676.6889,-1381.7499,260,-0.49591351,10.071774,0.72929823,10.110314,
127,696.92841,-1381.7499,260,-0.50642931,10.050392,0.70157182,10.087569,
128,717.16791,-1381.7499,260,-0.63520718,10.018049,0.80569381,10.070449,
129,737.40735,-1381.7499,260,-0.67148316,9.962245,1.0277995,10.037608,
130,757.64685,-1381.7499,260,-0.6463573,9.8988743,1.3158436,10.006845,
131,777.88635,-1381.7499,260,-0.45089898,9.6817341,1.5324314,9.8126259,
132,798.12579,-1381.7499,260,0.1029385,9.5775118,1.7487144,9.736392,
133,818.36523,-1381.7499,260,0.58963907,9.6165247,1.8020121,9.8016558,
134,838.60474,-1381.7499,260,0.93277645,9.8663101,1.4500511,10.015827,
135,858.84424,-1381.7499,260,0.78499174,10.172364,1.0795333,10.259562,
136,879.08374,-1381.7499,260,0.45354778,10.157608,0.64622098,10.188244,
137,899.32324,-1381.7499,260,0.42112267,10.144131,0.67699319,10.175414,
138,919.56274,-1381.7499,260,0.25728443,10.138858,0.63825029,10.162185,
139,939.80212,-1381.7499,260,0.23162231,10.112694,0.65721571,10.136674,
140,960.04163,-1381.7499,260,0.20381977,10.064569,0.64559907,10.087313,
141,980.28113,-1381.7499,260,0.18378049,10.067273,0.68695557,10.092358,
142,1000.5206,-1381.7499,260,0.16635503,10.065162,0.69009751,10.090163,
143,1020.7601,-1381.7499,260,0.17293069,10.0495,0.73076814,10.077518,
144,1040.9996,-1381.7499,260,0.15797466,10.049888,0.66349614,10.073005,
145,1061.239,-1381.7499,260,0.16423538,10.053576,0.63082784,10.074687,
146,1081.4785,-1381.7499,260,0.16567105,10.061701,0.57934684,10.079728,
147,1101.718,-1381.7499,260,0.15258101,10.053099,0.49447283,10.066408,
148,1121.9575,-1381.7499,260,0.14632446,10.038057,0.42497998,10.048115,
149,1142.197,-1381.7499,260,0.17324251,10.035947,0.47739708,10.048788,
150,1162.4365,-1381.7499,260,0.20148864,10.033321,0.53825748,10.049769,
151,1182.6759,-1381.7499,260,0.20321353,10.007775,0.52904665,10.023809,
152,1202.9154,-1381.7499,260,0.19552839,10.010209,0.52417374,10.02583,
153,1223.1549,-1381.7499,260,0.19500419,10.01902,0.51500934,10.034142,
154,1243.3944,-1381.7499,260,0.21101451,10.029569,0.50898725,10.044692,
155,1263.6339,-1381.7499,260,0.21391666,10.037277,0.48258674,10.051148,
156,1283.8734,-1381.7499,260,0.21356234,10.039563,0.41330546,10.050337,
157,1304.1128,-1381.7499,260,0.18994127,10.037924,0.33605766,10.045344,
158,1324.3523,-1381.7499,260,0.14934178,10.042149,0.24527761,10.046253,
159,1344.5918,-1381.7499,260,0.070805371,10.044455,0.14962901,10.045818,
160,1364.8313,-1381.7499,260,0.044289943,10.022075,0.13675508,10.023106,
161,1385.0708,-1381.7499,260,0.04102727,10.019319,0.13519074,10.020315,
162,1405.3103,-1381.7499,260,0.017787769,9.9355574,0.20520018,9.9376917,
163,-213.84827,-1361.743,260,-0.066872574,9.7958946,0.16390279,9.7974939,
164,-193.60878,-1361.743,260,-0.081462838,9.971324,0.11030568,9.9722672,
165,-173.36929,-1361.743,260,-0.10485612,10.002012,0.10700279,10.003135,
166,-153.12982,-1361.743,260,-0.13160701,10.033702,0.10618356,10.035127,
167,-132.89034,-1361.743,260,-0.18167311,10.041952,0.12404492,10.044361,
168,-112.65086,-1361.743,260,-0.23914984,10.041322,0.14789256,10.045258,
169,-92.411377,-1361.743,260,-0.2727547,10.051783,0.16104224,10.056771,
170,-72.17189,-1361.743,260,-0.31205463,10.047993,0.1839395,10.054521,
171,-51.932404,-1361.743,260,-0.36976695,10.039925,0.21553448,10.049043,
172,-31.692932,-1361.743,260,-0.42068976,10.030364,0.24632746,10.042204,
173,-11.453445,-1361.743,260,-0.44900736,9.993948,0.30110526,10.00856,
174,8.7860413,-1361.743,260,-0.4773249,9.9575329,0.35588306,9.975317,
175,29.025513,-1361.743,260,-0.49698019,9.9249086,0.4021135,9.9454765,
176,49.264999,-1361.743,260,-0.45133764,9.9115438,0.3841961,9.9292507,
177,69.504471,-1361.743,260,-0.35104424,9.8987417,0.35224199,9.9112253,
178,89.743973,-1361.743,260,-0.25075072,9.8859386,0.32028779,9.8943033,
179,109.98344,-1361.743,260,-0.15056191,9.8735962,0.29028541,9.8790102,
180,130.22292,-1361.743,260,-0.094866574,9.8732872,0.29518092,9.8781548,
